"gene_name","stat"
"NUF2",8.45342757861885
"CENPF",7.93391801063258
"MTHFD2",7.82099854369637
"STARD7",7.58443534592591
"ASPM",7.12854630445957
"SMG5",6.91002480411875
"STMN1",6.58545817906264
"FN1",6.57999197895141
"KIF26B",6.44008911738057
"IQGAP3",6.43135936755715
"PSRC1",6.37378494579422
"COL11A1",6.22147993828337
"PYGO2",6.007622332046
"KIF2C",5.94466954052911
"CAPG",5.9184785054015
"LRRC41",5.78404812311435
"CDC20",5.75213370611172
"CDCA7",5.67393072878041
"PTPRF",5.63472732937835
"KIF1A",5.57999011131476
"CCT3",5.51309257875925
"ICMT",5.51278491121796
"RCC2",5.46550218111372
"CEP85",5.44465505341126
"ASH1L-AS1",5.4293711924648
"JTB",5.41450186021069
"AC009237.8",5.40909615473054
"CDC7",5.39567351982059
"AGRN",5.35708062885619
"YARS",5.34176653236999
"MST1R",5.32792904098595
"MEX3A",5.27133167125078
"SPC25",5.21239622990327
"NAGK",5.19854192274581
"B4GALT2",5.13131381346506
"ARPC5",5.10635227742661
"MRPL37",5.01810655348879
"HENMT1",5.00761579691649
"DEPDC1",4.99534855692572
"HJURP",4.9795446770003
"RRM2",4.95937862032037
"CHML",4.94866183251199
"FAM72B",4.90181121833106
"TAF13",4.87653402465424
"PIGM",4.86888739204935
"YWHAZ",4.8301510638708
"TTF2",4.8145860739442
"POC1A",4.81365961552846
"POLR1A",4.77190099420906
"HDGF",4.75484616922593
"CTPS1",4.74420952409558
"BUB1",4.71043928881318
"C1orf43",4.67597558593646
"MARCKSL1",4.67481699775605
"GBA",4.65146149194373
"FLAD1",4.64493113568195
"EPRS",4.64001783597728
"FAM72A",4.63954860224769
"ISG20L2",4.60665248745183
"AC004453.8",4.5939707689942
"EFNA4",4.5767113807089
"SNORA42",4.56014948293586
"HDAC1",4.54232793963342
"ADAM15",4.53473470709048
"PRCC",4.48673019870219
"RCC1",4.43827828685158
"CSMD2",4.4092623890327
"IFI44L",4.40472485376004
"FAM189B",4.4002461874696
"TIMM17A",4.34388507052343
"DOCK3",4.3380985847538
"PROM2",4.31930357393186
"MAD2L2",4.29019825221855
"KIF14",4.28768026501788
"CLSPN",4.28516584575732
"EFNA1",4.28002339168631
"IPO13",4.25987274626242
"ATP6V1C2",4.22784172761156
"CENPA",4.22445273548361
"CDCA8",4.20789062785319
"SGOL2",4.17477426943759
"SLC16A1",4.16640076110038
"YBX1",4.1559352727435
"CAD",4.15322531212142
"NEK2",4.14026988552749
"MFAP2",4.12097076883787
"PHGDH",4.12031106282709
"PTMAP2",4.09609957152286
"USP1",4.086433816289
"SSX2IP",4.06280562030453
"NCAPH",4.0496112469006
"LEMD1",4.03706021524629
"RP11-274B21.2",4.01117665158452
"FAM72D",4.00431123110415
"SLC6A9",3.98833221309005
"MAST2",3.98047243802025
"TUFT1",3.97516783157681
"AC093162.5",3.97378348354076
"S100A8",3.96430898326301
"CDCP1",3.96054638622006
"TMEM79",3.94059618652855
"ARF1",3.93940766762007
"RPLP1",3.93849769618681
"RTKN",3.93192772084229
"LRP8",3.92378020492584
"CCDC142",3.91236571875394
"NT5DC2",3.90990262092459
"SLFNL1",3.89913233360502
"PFKFB4",3.89787237947705
"CHD1L",3.89756157116178
"NUP210",3.89434606855534
"SEC13",3.88216772132591
"HES6",3.86711179033693
"S100A14",3.86644969867192
"VANGL1",3.86363381490732
"METTL13",3.86188616090436
"STAT1",3.85920361266867
"TOR1AIP2",3.84676797023997
"CDC42SE1",3.83723847360423
"MOV10",3.82904464683793
"CKAP2L",3.82396697332398
"KIAA2013",3.82142266584044
"RP11-74E24.2",3.81332931999124
"PASK",3.81198849102018
"IGSF3",3.79904803796452
"CELSR2",3.79492341578078
"COPA",3.78667677753382
"IGSF9",3.78640205686412
"AC074117.10",3.78430025650526
"TPM3",3.77905251427458
"SLC39A1",3.76900634318814
"SNRPE",3.76230425221401
"ARHGEF19",3.75879117573682
"IPO9",3.74526385704034
"QSOX1",3.74497439892031
"AC067945.3",3.73985804883704
"CHPF",3.72036316967701
"ARHGEF2",3.69128172705105
"SLC2A1",3.68691402573709
"B3GALNT2",3.68281714974319
"PARP1",3.67958362264646
"FBLIM1",3.67375507104538
"PHC2",3.66512556323154
"TRIT1",3.65078419020908
"DESI2",3.62193003250822
"IFI6",3.62129537778402
"CACYBP",3.62023273746018
"KIF15",3.6008875539238
"MSTO1",3.597192712383
"ATG9A",3.59013024362139
"C1orf112",3.58020708988542
"PTMAP5",3.57199958781581
"SNRPG",3.56927162551244
"SLC50A1",3.56820386094401
"SLC20A1",3.56730598811819
"FANCD2",3.56686661554376
"PLOD1",3.55816636048678
"UHMK1",3.5442306046421
"C2orf70",3.53707744168776
"ARHGEF16",3.51698945293022
"URB2",3.50939915658167
"RHOC",3.50788761280561
"ADPRHL2",3.50737458120341
"HORMAD1",3.49424213601078
"CMPK2",3.47468055361533
"POGK",3.45346683132329
"RAD54L",3.44630846183231
"TMEM183A",3.44557512521778
"YOD1",3.43678329431814
"SLC11A1",3.43313478928727
"ATAD3B",3.42878600102643
"C2orf48",3.42108277532836
"BTBD19",3.40222001760414
"ZNF695",3.3982694063017
"WRAP73",3.39711862584998
"ARHGEF11",3.39287492249614
"TTL",3.38830380009885
"PIP5K1A",3.38694264368536
"DNMT3A",3.36957375734775
"ATAD3A",3.36509968623703
"ADIPOR1",3.36095639130458
"ENO1",3.36060127844862
"STIL",3.34636897621571
"TDRKH",3.34318622299156
"RBM15",3.33538688628279
"ILF2",3.33256819294221
"TMEM206",3.32960503275312
"GTF3C2",3.32127337118303
"PRDX1",3.31842036030183
"DPH2",3.31201501505051
"RUSC1",3.31068288785238
"APH1A",3.30669172180779
"ADAR",3.30586517430982
"PSMA5",3.30287743652001
"HNRNPUP1",3.30082580350834
"GUK1",3.29725051179114
"DAP3",3.29172556049674
"PAQR6",3.29157733593808
"GBAP1",3.28138884623054
"PPFIA4",3.27331015759711
"GFPT1",3.26164577485202
"SLC44A5",3.2563565860745
"RP11-383G10.3",3.2517694275693
"LRRC8B",3.2484648444308
"ELOVL1",3.23326178081955
"TTLL4",3.23227909110408
"SSU72",3.22649251695209
"RP11-19E11.1",3.22262820580241
"RP11-297L17.6",3.22194461738599
"LIMD1",3.21911589384304
"ZNF142",3.21546367078673
"MRTO4",3.21245644254637
"NBPF8",3.19648015962075
"RSAD2",3.1869015412243
"PIK3R3",3.18578102714784
"APEH",3.17947515042737
"TIPRL",3.1614757331637
"UBE2Q1",3.15570044500056
"AC004987.9",3.14110932706846
"USF1",3.13619624933041
"KCMF1",3.1336500969543
"PLXNA2",3.13339808502916
"TUBA4A",3.12378116202985
"HAX1",3.12090615740273
"PI4KB",3.12013875965075
"FCGR3A",3.11638236376384
"ERI3",3.1118565678103
"ISG15",3.10186799022385
"VANGL2",3.10170406106364
"PSMB4",3.0957549992823
"S100A11",3.09436466439553
"MIR4435-1HG",3.08760927012384
"MTOR",3.08507630597896
"DHX9",3.08322292170294
"NUDT17",3.07322216000708
"TRIM46",3.07120036900583
"DVL1",3.07008378710924
"DCLRE1B",3.06706779352555
"MIIP",3.06500817901953
"FBXO42",3.05930250121916
"IFI44",3.05579296470632
"CRELD1",3.04081484819292
"TTC31",3.04044262245354
"PVRL4",3.03878198172571
"KLHL17",3.03085449828395
"FAP",3.0297613096023
"ACAP3",3.0231789518607
"TEX261",3.00932884658739
"ATP6V0B",3.0066876068782
"MYBPH",3.005135950401
"IKBKE",3.00294525723842
"AC007318.5",2.99696143023142
"EXO1",2.99396040186906
"CAPN10",2.98808059715523
"PREB",2.98559778603012
"CTNNBIP1",2.98462434177297
"DHCR24",2.97930052171675
"DPM3",2.97662942000748
"CAPZA1",2.97527648436409
"RQCD1",2.97285399756943
"SNORD78",2.97127622473285
"DTL",2.96462808089149
"BOLA3",2.96050693367213
"TMSB10",2.94995793074854
"TXLNA",2.94835299355198
"SEMA4C",2.94699356616467
"NOC2L",2.94647999715819
"RP11-153M3.1",2.94473522380289
"C1orf195",2.94285240783197
"SFT2D2",2.93763667858274
"TET3",2.93677235580659
"TRIM11",2.93554457999504
"TAGLN2",2.93144975651657
"YBX1P10",2.93144887499163
"ADC",2.93121958338089
"WDR26",2.92464708791731
"CAP1",2.91542932445492
"RAB25",2.91082931547767
"SNORA14B",2.90105063757619
"EXTL1",2.89771114737444
"ATP13A2",2.89213760025058
"RPS6KA1",2.88777972987733
"ELF3",2.88638513560395
"TRAIP",2.8858147666033
"TMEM52",2.87886775381787
"CELSR3",2.87823119715537
"HSPE1",2.87756111611732
"XYLB",2.87432008111778
"AUP1",2.87352885972936
"TTC7A",2.87067907465261
"NPHP4",2.86972070770282
"ZNF496",2.8687567268409
"CGN",2.85026541349273
"VWA1",2.84865450855447
"EPT1",2.83976206642996
"RPSAP58",2.83808773330741
"SERTAD4",2.82857519202418
"OLFML2B",2.82298096616599
"ATAD3C",2.82049144021892
"ATIC",2.81620041186827
"RP11-74C1.2",2.81288682498847
"PTGFRN",2.81186103657661
"UBQLN4",2.80668874437043
"CIAO1",2.80666784959245
"DENND4B",2.7990473720614
"NASP",2.79035578530675
"UBR4",2.78793500041919
"PTPN23",2.78605663760655
"PRELID1",2.77468877776013
"RFX5",2.7694215418703
"SRGAP2B",2.76503361115681
"KDM5B",2.76313174220362
"SNHG3",2.7623360338324
"SET",2.75452042365375
"YBX1P1",2.74598692399737
"GPX7",2.73361640027236
"PSMD4",2.73053227486908
"WDR77",2.72908303290819
"RAP1A",2.72662825120467
"VAMP8",2.71974991915581
"ENAH",2.71732610032611
"CHI3L1",2.71349237519898
"NAP1L4P1",2.70950642766757
"ACTB",2.70915163045237
"SDC1",2.7083399479003
"FLVCR1",2.70631377776508
"METTL18",2.70403778915351
"FDPS",2.69938084133124
"ARPC2",2.69392584028438
"TOR3A",2.6866018076433
"SNORA55",2.68407964765072
"GPBP1L1",2.68281466037811
"TMPPE",2.68158284075146
"CERS2",2.67819584030176
"GALNT2",2.67449067048376
"ZBTB18",2.66792224943132
"IRF6",2.66782017355038
"ARF4",2.65877098160809
"ZNF687",2.65519701450621
"MSL3P1",2.65320634650013
"GALE",2.65108935628109
"GBP5",2.6471055126711
"EEF1A1P5",2.63288176894943
"FHL3",2.63266575187314
"SIPA1L2",2.62301117057228
"TSPAN2",2.61924752307006
"ABC7-42389800N19.1",2.61642101921446
"BTF3L4",2.61588506670701
"IMMT",2.61419450914157
"GEN1",2.59612593516072
"LIN9",2.59603017209571
"LENEP",2.59502385164716
"RPL18A",2.59486820554287
"FAM134A",2.59445582240972
"AKR1A1",2.59155658641894
"KRTCAP3",2.58040030834286
"PTP4A2",2.57804297660376
"ZBTB7B",2.57209030962627
"RP4-758J18.13",2.56592452206346
"TNFRSF25",2.56503619277028
"RP11-274B21.4",2.56467135795835
"PYCR2",2.56315753920569
"NABP1",2.54032303189892
"CDC25A",2.52370693908665
"A3GALT2",2.52350901115803
"C1orf106",2.5176819018857
"PHTF1",2.50712507535102
"ITGB6",2.50410540640092
"IFIH1",2.5006358737739
"UBE2J2",2.49500506403639
"PLEKHB2",2.49369188199193
"ADAMTS4",2.49322935374825
"SIKE1",2.48685817095144
"TRIM62",2.48558990507556
"MARS2",2.4773003326015
"MAPKAPK2",2.47703700974407
"ARHGEF10L",2.47062470251332
"SLC30A7",2.46779291531314
"FAM78B",2.46575110677067
"PLEKHO1",2.46560713716485
"TMEM89",2.46548563707559
"RGS16",2.46257028932371
"PDIA6",2.46124486046813
"ZDHHC18",2.46000075716684
"ZNF101P2",2.45763453136074
"SLC23A3",2.45643119369578
"SLC4A3",2.45567506702476
"WASH3P",2.44931626608489
"CHTOP",2.44231463051433
"HIGD1A",2.43990314266777
"HNRNPK",2.43129312523373
"HIVEP3",2.4264046192983
"SLC45A3",2.42487209644299
"SPRTN",2.4247734659524
"RP11-274B21.3",2.41624729102279
"PSMD14",2.41265861443387
"TARS2",2.41057451621192
"ATP1A1OS",2.40608957516447
"ZBED6",2.405239319139
"SLC35E2B",2.40381326200298
"YIPF1",2.40245050567927
"SMPD4",2.39965339893818
"NBEAL2",2.39672495515191
"UCK2",2.39523155782743
"BPNT1",2.39425633639552
"C1orf159",2.39316701428086
"SGIP1",2.39284624047601
"AC092798.2",2.38607456078794
"HCN3",2.36982223269667
"MED8",2.36793746706288
"DRG1",2.36485024352285
"RNPEP",2.36323876197216
"NDUFS2",2.36157811327232
"TTC13",2.36010608285599
"SMYD2",2.3588427001972
"TAF5L",2.35280163254423
"PRKAB2",2.35180716325399
"PDK1",2.34898745229207
"MGAT4A",2.34782034669515
"SNORA2",2.34025805002171
"RP1-308E4.1",2.33629952636129
"CTBP2P8",2.33587422862531
"HPCAL1",2.32505734873306
"SCAMP3",2.32467352858806
"C1orf122",2.32065381188577
"RGPD6",2.31728341898774
"FBXO6",2.31695477986079
"SNRPA1",2.31588935188483
"CNPPD1",2.31387224127445
"VGLL4",2.31148602593419
"SEP15",2.31072601207354
"EIF1AX",2.30918586592165
"CTTNBP2NL",2.30080537452282
"MCM6",2.29298864823395
"AC090945.1",2.29269882585559
"UBE2T",2.28986852042087
"SESN2",2.28522173261085
"TTLL10-AS1",2.28280870244061
"B4GALT3",2.28088029998165
"FCGR1B",2.27973585486922
"C1orf85",2.27668067211232
"HSD3BP5",2.27151581207288
"RP4-765C7.2",2.27018748320406
"MACF1",2.26395672507368
"INSIG2",2.25625164090456
"USP21",2.25492996528181
"RNF123",2.25486756703992
"EDEM1",2.25485257198445
"BZW1",2.25168397911715
"RP4-533D7.3",2.25120254419451
"C1orf198",2.25068210813484
"RBM8A",2.25043009953536
"AK2P2",2.24393022348411
"ZSCAN20",2.24336705304224
"GJB3",2.24279165581923
"TMEM54",2.24070207551538
"FTH1",2.24061951260053
"AC016739.2",2.23998455450394
"ZC3H11A",2.238832291386
"CHI3L2",2.23674541668679
"MIR765",2.23589188550584
"RNF187",2.22949286151551
"CCR1",2.2292447947005
"SELRC1",2.22631044146064
"DR1",2.21561385066434
"PFDN2",2.21339718115292
"RP11-206L10.1",2.21330594496733
"OXSR1",2.21195299973766
"ALAS1",2.2090774639065
"AC007899.3",2.20587633187955
"GPSM2",2.20365210069675
"SNRNP40",2.20020704645815
"PSMB2",2.19990841633418
"C2orf69",2.199902357339
"HK2",2.19599783892144
"SGOL1",2.19523468430851
"CCT8P1",2.18994102199345
"RP11-488C13.1",2.18844071116717
"RNPEPL1",2.18840980540237
"AKR7A2P1",2.18822039829182
"SNAPIN",2.18748319468279
"SFN",2.18558375658496
"GRB14",2.18257493473661
"AP4B1",2.17685038303759
"ANP32E",2.17522987771845
"ACTR2",2.1727664508889
"STK11IP",2.16960000551001
"AP1S3",2.16793673517261
"NCDN",2.15250659766735
"RNF19B",2.15241160460078
"CEP170",2.15215097336697
"ACAA1",2.15124641506185
"ARL4C",2.14881677171399
"RP11-651P23.4",2.14766944233653
"CENPL",2.14624788421786
"RHBDL2",2.14251701352901
"ARV1",2.14188478429792
"EIF4A1P11",2.1393443386372
"SH3BP5L",2.13917252723541
"MTHFR",2.13897475551011
"C2orf72",2.13429661270758
"CPSF3L",2.13425770060201
"ARL8B",2.13301212242817
"SH3D21",2.13218589380562
"SMYD3",2.13183800988526
"LEPROT",2.12717518865217
"FAM19A3",2.12292526001865
"SETDB1",2.12263726353593
"TMEM39B",2.12087796396853
"C2orf68",2.12044320755238
"INTS7",2.11552625040775
"SMS",2.11374476703922
"GCA",2.10897711223842
"TOMM40L",2.10763828192528
"PSMD1",2.10532457223755
"HNRNPA3P5",2.10458866494426
"HNRNPCP2",2.10336198303017
"TARBP1",2.10049043380674
"VOPP1",2.09170349604738
"NDC1",2.08846232736902
"MYD88",2.08573957601349
"ZNF281",2.08480264861253
"TSSC1",2.08091207548218
"PRDX3P2",2.07223265077257
"SH2D2A",2.07047269025505
"ACVR2B",2.06814154295296
"PABPC4",2.06694381354464
"NADK",2.06101835812878
"MTMR11",2.06082261421392
"COL3A1",2.05751484304512
"DNAJB2",2.05684038564649
"GNPAT",2.05599204183968
"ARHGEF4",2.05453841564125
"TUBA3D",2.05430286039454
"SPOCD1",2.05191425808152
"ZNF513",2.05106492998823
"RP11-169K16.7",2.04760745340431
"GPR137B",2.04351843067211
"RAB13",2.041480276508
"RAB11FIP5",2.04038075753776
"POLR1B",2.03955349188568
"C3orf18",2.03857721086534
"DNAJC6",2.03202432117611
"IL1A",2.03117034075171
"S100A16",2.0297754419553
"ABCB10",2.02949843963783
"CHRM3",2.02834156751224
"HS2ST1",2.01902928378624
"METTL6",2.01504477498448
"FAM98A",2.01255829226645
"SRM",2.01248859341885
"RABGGTB",2.01086458305165
"CRTC2",2.00779922386886
"RBBP5",2.00607814081171
"SEMA3F",2.00604096702552
"RPL21",2.00595541126765
"PUS10",2.0006373096633
"C1orf74",1.99821007948011
"S100A9",1.99313482196211
"LYPLA2",1.99312633459288
"PTPN7",1.99228430305179
"FCGR2A",1.99226610244112
"ALX3",1.988198448605
"ESPN",1.98330440269143
"TIA1",1.98099907729451
"LAD1",1.97995622133986
"RP11-423P10.2",1.97840785917846
"CD58",1.97365575876708
"HDLBP",1.97267641342315
"SETD8",1.97083353728931
"ATG4B",1.96452732276014
"RNF149",1.96167535570392
"FCGR1A",1.9612987311302
"IL17RC",1.9574721761141
"CCT7",1.95717186597181
"POTEG",1.95562544595475
"PTMA",1.95501923547904
"TADA3",1.95215004138224
"INHA",1.95191247457277
"GOLT1A",1.94893230941247
"RP11-558F24.6",1.94849013952135
"TXNDC9",1.94793926254372
"TCEB3",1.94793020434475
"CACYBPP2",1.94463855532562
"OTX1",1.94240205467773
"TPI1",1.94194479650197
"IL1RN",1.94147553732917
"PGBD2",1.93723086319252
"ZFP69",1.92114516006156
"HSPD1P1",1.91707673440911
"LIMS3L",1.9149785801133
"KRTCAP2",1.91487874028875
"GGPS1",1.90969628722749
"SERINC2",1.9073885667057
"PDZK1IP1",1.90662445759897
"RUNX3",1.90556683233212
"AGBL5",1.90313693284731
"COPS7B",1.90115731310019
"EPCAM",1.90043499677313
"RN7SK",1.90040072693066
"DNPEP",1.89889627676669
"SHC1",1.89834588392853
"DYSF",1.89565367655932
"HNRNPR",1.89205962980762
"AC133644.3",1.8914928170095
"SF3B4",1.88800613735402
"AC093724.2",1.88534365800786
"EN1",1.88502206699425
"RP4-758J18.2",1.88210890815225
"WNT9A",1.88149257061865
"YTHDF2",1.88015644603448
"SERBP1P1",1.87852121156122
"MMACHC",1.87489330323444
"UBE4B",1.87246143722967
"CCDC24",1.86798674092091
"METTL8",1.8646410620376
"MUC1",1.8630898557018
"FCRL3",1.86287360825947
"IQCC",1.86256675244693
"RTCA",1.86256356724895
"THEMIS2",1.86150593954237
"MIR215",1.85376620252679
"TMSB4X",1.85071369671022
"EIF4E2",1.8475905477169
"SORT1",1.84666753524444
"XKR8",1.84572152456192
"SRP9P1",1.84497475219625
"C1orf172",1.84427295453845
"RPUSD3",1.84416332810565
"METTL21A",1.84205135396341
"HIST2H2BF",1.83934058123566
"SLC25A44",1.83921050698475
"CCDC115",1.83884549776577
"EFHD2",1.83761255942854
"SMYD5",1.83308244270018
"RPS7P10",1.82832457254685
"C1orf51",1.82830268959819
"NDUFA4",1.82570019342482
"SLC6A6",1.82479976818913
"ACY1",1.82240003184136
"STK36",1.82059008615292
"KMT2C",1.81972919030619
"LAMTOR5",1.81913353925076
"SNORA73B",1.81886729080783
"SLAMF8",1.8183024822247
"FBXO48",1.81738689567043
"PRUNE",1.81557247661076
"TTC22",1.81444513980574
"CHDH",1.81352895019256
"HNRNPA1P22",1.81307167895186
"AC093838.4",1.81288470085352
"TMEM40",1.80877876000796
"MRPL9",1.80848667276485
"OAZ3",1.80692041638124
"PGBD5",1.804283544753
"PTPRU",1.80235414790489
"GPR89B",1.8019125561915
"PGAM1P6",1.80165272300495
"AMPD2",1.80009274193049
"RP4-633I8.2",1.80005821071176
"ACTR3",1.79718673554737
"SDHB",1.79562379983741
"HEATR1",1.79433085004507
"HEYL",1.7872289771609
"TRNAU1AP",1.78514272443923
"RP11-267J23.4",1.78459531531282
"WASH4P",1.78419861517239
"SARS",1.78355841409882
"PRKCZ",1.77851474164071
"FAM198A",1.77835563491528
"CLK2",1.77599536316648
"NDUFB3",1.77342392546106
"RIT1",1.77284416731739
"AHCTF1",1.77101479360116
"PFKFB2",1.7709210059694
"AC112211.3",1.77060998004756
"CIB4",1.76658742023258
"LAPTM5",1.76595080823321
"PPP1R14BP2",1.76056606957968
"HPDL",1.7583041172656
"CRABP2",1.75753909803292
"OTUD7B",1.75613234555036
"MCEE",1.75239410921485
"C2ORF15",1.75155833838909
"GNG4",1.75120352140689
"ABHD14A",1.75115493495267
"AURKAIP1",1.74937888777788
"PDC",1.74416104996197
"COL5A2",1.7431539471811
"NCKAP1",1.74191217040768
"GAS5",1.73794821852207
"TMEM51",1.73732937240411
"BZW1P2",1.7356041158385
"ODC1",1.73165672418044
"CAND2",1.73013913562897
"MAT2A",1.7292485454297
"RUSC1-AS1",1.72914688881397
"GBP1",1.72790677302638
"RP4-597J3.1",1.72686679112475
"USP19",1.72566636860467
"FAM132A",1.72552344412091
"FH",1.72130477240939
"TDRD5",1.72015257161418
"NMI",1.71844282870253
"TMA16P2",1.71626574612529
"HMGN2P5",1.71263775809426
"EFR3B",1.71048101114497
"CC2D1B",1.70883125206277
"PRPF3",1.70678072289914
"RP11-142L4.2",1.70511470201573
"CNOT11",1.70508944782973
"RP4-763G1.1",1.70123726833831
"KIAA0907",1.69883959112724
"MEGF6",1.69738690279146
"VTCN1",1.69676993503871
"LRRC8D",1.69655986639822
"CYP8B1",1.69647485587721
"PTGES3",1.6950246126859
"GNAI3",1.6909653210182
"RPLP0P6",1.68739795998931
"SPCS2P4",1.68620636391465
"FAM91A1",1.68588428778788
"DCST2",1.68462454790109
"MEMO1P1",1.67743055487764
"TMEM214",1.67489075909508
"PRRT3",1.67366804628508
"CAPZB",1.67008409387632
"TMEM56",1.66955805295266
"PIPSL",1.66280207516841
"CYP27A1",1.65894504006312
"CTLA4",1.6567113504704
"APOBEC4",1.65574240333884
"TBX19",1.65338834049284
"RPL12P4",1.65198717267341
"ORMDL1",1.65053681869486
"RP11-34P13.14",1.65028825060927
"F11R",1.64989866174606
"SHISA5",1.64873041012914
"ARIH2",1.64788079881509
"RP11-255B23.1",1.6438223212212
"PRKRA",1.64331470976123
"CHMP3",1.64194635286605
"SPDYA",1.64125543583055
"S100A1",1.64064293737477
"RP11-767N6.2",1.63608447959378
"ACMSD",1.63534436517256
"NCF2",1.63505934308334
"CREB3L4",1.63479773925394
"MYCN",1.63427868433019
"ABL2",1.63136470383928
"FTH1P23",1.63082904566121
"RPIA",1.63010666935892
"CTB-13H5.1",1.62713665613682
"ZBTB41",1.62697923727975
"RP11-145A3.4",1.62697318089545
"CCDC51",1.62451371536878
"ZNF532",1.6242153459335
"HIAT1",1.62223686941437
"RP11-395P16.1",1.62033806057864
"GPN1",1.6200080812749
"AC092839.1",1.61824363138214
"H3F3A",1.61643606966904
