"","SRR15597580","SRR15597582","SRR15597583","SRR15597584","SRR15597587","SRR15597588","SRR15597589","SRR15597590","SRR15597591","SRR15597712","SRR15597713","SRR15597714","SRR15597715","SRR15597716","SRR15597717"
"ENSG00000223972.4",11.802582295493,7.97939652017317,17.0031540621676,8.25123287828149,0,295.601801742947,103.041644561996,17.1186856789248,1.22013493860811,230.096634653678,731.220540230973,0,42.3687820662181,0,0
"ENSG00000227232.4",264.1530323277,260.527296383654,272.050464994682,127.435707786792,358.506979213894,243.216672320146,473.68397798649,133.779358453819,320.895488853934,120.666388024328,69.89608105149,489.549265172023,347.495220980074,84.2408606515078,62.2919639871199
"ENSG00000243485.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237613.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268020.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000240361.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000186092.4",0,1.79536421703896,0,0,0,0,0,0,0,2.93116732042902,0,0,0,0,0
"ENSG00000238009.2",1.68608318507043,12.1685796932641,1.88923934024084,0,0,0,0,0,0,0,0,0,0.356040185430404,0,0
"ENSG00000239945.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233750.3",0,0,0,0,0,0,0,1.26805079103146,0,0,0,0,0,0,0
"ENSG00000237683.5",199.519843566667,1784.99100156274,5943.5469643977,2371.77105067936,2604.44776075976,1864.34933820789,2306.90249019395,425.431040391056,2664.77470592012,903.776590465615,2838.85621501436,2175.53059096626,1384.64028113884,693.817088421446,391.055107252475
"ENSG00000268903.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269981.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239906.1",7.86838819699533,16.357762866355,3.77847868048169,3.66721461256955,0,171.187119363795,21.5310899084768,0,0,0,0,0,3.91644203973444,0,0
"ENSG00000241860.2",0,0.398969826008658,1.88923934024084,3.66721461256955,0,0,1.53793499346263,0,2.44026987721623,0,0,0,0,0,0
"ENSG00000222623.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000241599.1",0,0,0,0,0,0.935448739692871,0,0,0,0.48852788673817,0,0,0,0,0
"ENSG00000228463.4",0,0.199484913004329,0,0,0,0,0,0,0,0,0,0,0.356040185430404,1.17001195349316,12.1123263308289
"ENSG00000241670.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237094.7",73.0636046863852,19.9484913004329,1.88923934024084,224.616895019885,1.17159143533952,38.3533983274077,0,0,220.844423888069,2.93116732042902,0,0,116.069100450312,0,326.167644765892
"ENSG00000250575.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233653.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224813.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235249.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000269732.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256186.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236601.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236743.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236679.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
