"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000132170","PPARG",284.937245074669,-2.28774672294182,0.35759907638783,9.18352138174062e-12,4.38053969909028e-09
"ENSG00000150938","CRIM1",867.911152008725,-1.45402250833596,0.264544128372413,2.00093186154722e-09,4.77222248979013e-07
"ENSG00000162407","PPAP2B",220.182290608337,-1.55003959433574,0.29210940684308,6.17218825176752e-09,1.26177162689705e-06
"ENSG00000143196","DPT",118.831969449,-4.00218590979122,0.775917290285285,1.6776219218004e-08,2.67529058047326e-06
"ENSG00000123636","BAZ2B",2269.44996783346,-1.15992528685319,0.227562409771084,1.60362895656749e-08,2.67529058047326e-06
"ENSG00000092607","TBX15",313.729919082257,-2.17508744695427,0.426331122432278,1.81949782694495e-08,2.6934841969223e-06
"ENSG00000114166","KAT2B",338.272657082579,-1.59687734512631,0.319361338164833,2.84756314238813e-08,3.82018392821007e-06
"ENSG00000158966","CACHD1",415.57075934816,-2.1181435842215,0.423512805187977,3.00550380842766e-08,3.90988722714544e-06
"ENSG00000150995","ITPR1",1111.69187519694,-1.64409000855886,0.334675888466956,4.95479617844411e-08,5.74890270109745e-06
"ENSG00000116194","ANGPTL1",122.814270867851,-1.82843688664972,0.379133290145248,7.43932352466645e-08,7.42721299799839e-06
"ENSG00000136546","SCN7A",197.098996204714,-3.76998870804918,0.782106049279827,9.05802151267132e-08,8.23228846746476e-06
"ENSG00000153246","PLA2R1",835.005590995856,-2.09424772866755,0.456195338124674,2.25895625595499e-07,1.82975456732354e-05
"ENSG00000116016","EPAS1",2012.66710708372,-1.61022415498435,0.350904315931892,2.55443508549212e-07,2.03077589296623e-05
"ENSG00000163815","CLEC3B",28.9003333753807,-4.77007045966994,1.01232852865133,3.02061693648047e-07,2.23577732901908e-05
"ENSG00000177606","JUN",691.258215652084,-2.0279086147885,0.449069908177897,3.28504341744469e-07,2.35044856518168e-05
"ENSG00000197958","RPL12",413.590375510927,-1.4393826306144,0.3246318844831,4.49817805072107e-07,3.06518704313421e-05
"ENSG00000188177","ZC3H6",549.326793926368,-1.32502152914087,0.305562034386617,6.6239808349873e-07,4.06239281780007e-05
"ENSG00000151687","ANKAR",310.828536235074,-1.32114252370256,0.305643434359678,6.84584903120488e-07,4.1393281536567e-05
"ENSG00000169291","SHE",45.349246327989,-2.55299857350232,0.585807432940463,7.44611581590816e-07,4.33508563898443e-05
"ENSG00000117289","TXNIP",2409.42380687676,-1.93890234968675,0.449440025791605,7.71119131299584e-07,4.41388590755882e-05
"ENSG00000115705","TPO",141.844524284358,-3.00834012313276,0.692114750641325,8.00699202202831e-07,4.52289694086415e-05
"ENSG00000071967","CYBRD1",619.229462396159,-2.23952697810645,0.541536308076305,1.83808879238404e-06,9.07001745483296e-05
"ENSG00000079308","TNS1",2175.44159703592,-1.57338080397346,0.386805984601099,2.23502427860888e-06,0.000106610658089644
"ENSG00000185946","RNPC3",899.527613196474,-1.54671000033065,0.384101336118421,2.59963099484208e-06,0.000121306694139751
"ENSG00000228057","SEC63P1",108.665752170836,-1.47980516431105,0.371504009197894,2.67742232263259e-06,0.000123593269151201
