"gene_id","gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000143228","NUF2",128.908388023116,3.96648307855892,0.477723928104015,2.82873421686854e-17,1.21437559930167e-13
"ENSG00000117724","CENPF",1361.05957589736,4.00563463765105,0.536179713772627,2.12338305726154e-15,3.03856115494126e-12
"ENSG00000065911","MTHFD2",251.531137474551,1.97038561766979,0.267019675287099,5.24059512026699e-15,5.62446871282655e-12
"ENSG00000084090","STARD7",811.000692726138,1.24799891405097,0.174244009269302,3.33938137071323e-14,2.38932737074532e-11
"ENSG00000066279","ASPM",2836.67083491515,3.46653127822714,0.523304609938193,1.01434476376769e-12,6.2208315297924e-10
"ENSG00000198952","SMG5",1192.79434319654,1.77218260747166,0.274304054493463,4.84568970111234e-12,2.60031823585941e-09
"ENSG00000117632","STMN1",406.677128976029,2.26332982236375,0.371485141952488,4.53484730819222e-11,1.8361303399592e-08
"ENSG00000115414","FN1",38970.7877111707,2.99329887668958,0.489059323617972,4.70473648720038e-11,1.8361303399592e-08
"ENSG00000183856","IQGAP3",723.411762417666,3.50311419998361,0.601350151451562,1.26467759882584e-10,3.87804352268525e-08
"ENSG00000162849","KIF26B",265.788489264095,3.41404099044969,0.581453916007859,1.19403372692415e-10,3.87804352268525e-08
"ENSG00000134222","PSRC1",24.4564806202379,3.02179870504183,0.509664162756098,1.84419145279002e-10,5.27807593788504e-08
"ENSG00000060718","COL11A1",2486.44365717714,4.05673919064421,0.724190018634733,4.92487139694943e-10,1.32140455669399e-07
"ENSG00000163348","PYGO2",26.1442736101572,2.45701871587993,0.444812834714271,1.88263749130511e-09,4.75421338245462e-07
"ENSG00000142945","KIF2C",198.744883204423,3.76541195551519,0.69592785823197,2.77015126179725e-09,6.25908387731347e-07
"ENSG00000042493","CAPG",158.951462349753,1.67341015789513,0.312431056531886,3.24933460381874e-09,6.97469672709693e-07
"ENSG00000132128","LRRC41",271.094287439519,1.22088228616537,0.233304991019466,7.29240658428858e-09,1.42301370301595e-06
"ENSG00000117399","CDC20",112.270748288521,3.58677117883874,0.684097629191951,8.81240569054922e-09,1.64485467954469e-06
"ENSG00000144354","CDCA7",70.4604009732296,2.41844736953497,0.465482903552018,1.39557583291018e-08,2.49633627111809e-06
"ENSG00000142949","PTPRF",2752.90404430145,1.18207930997018,0.234847357597841,1.75335533125158e-08,2.68826944180823e-06
"ENSG00000130294","KIF1A",335.677594198144,5.02697055459378,1.02243159055941,2.40532258970474e-08,3.33098383148466e-06
"ENSG00000116237","ICMT",67.9676843922961,1.82663501609725,0.367362575171563,3.53199773558377e-08,4.33224750824604e-06
"ENSG00000163468","CCT3",888.62204287466,1.5577675904501,0.318732688499147,3.52582644977021e-08,4.33224750824604e-06
"ENSG00000179051","RCC2",501.660139121643,1.44947818925417,0.299291775949022,4.61598115342805e-08,5.50455752546295e-06
"ENSG00000130695","CEP85",158.350492050722,2.53524133254559,0.527910846685066,5.19058733503742e-08,5.86399774455675e-06
"ENSG00000235919","ASH1L-AS1",94.2457855763589,3.27788848311722,0.672878659738967,5.65529519274625e-08,6.22517493909221e-06
"ENSG00000143543","JTB",222.317171313357,1.28601771066939,0.268737527610498,6.14595645113674e-08,6.59614776118251e-06
"ENSG00000229689","AC009237.8",24.9563953688644,3.7158488586738,0.739240938416559,6.33436157351942e-08,6.63254005734606e-06
"ENSG00000097046","CDC7",212.306852820816,2.75088407616042,0.584293285867942,6.82669808995757e-08,6.97786069052092e-06
"ENSG00000188157","AGRN",841.443488933669,1.81659044266282,0.384433294461074,8.45773837707287e-08,8.06868241172752e-06
"ENSG00000134684","YARS",607.481013469149,1.3684086575657,0.291363585555953,9.20451540736801e-08,8.23228846746476e-06
"ENSG00000164078","MST1R",175.238359967975,2.42775352808475,0.517486567877723,9.93389163552369e-08,8.7033054676129e-06
"ENSG00000254726","MEX3A",147.927880333886,3.29636167563256,0.727486727826474,1.35437467253976e-07,1.16286609384264e-05
"ENSG00000152253","SPC25",30.124081469086,4.6532695355678,1.02466525730536,1.86416849291373e-07,1.56919124315267e-05
"ENSG00000124357","NAGK",433.274844718159,1.36377558682441,0.301342573770781,2.00857828229664e-07,1.65823587805759e-05
"ENSG00000117411","B4GALT2",114.402423625348,1.8619201135489,0.411075105004864,2.87726744055077e-07,2.20573377183651e-05
"ENSG00000162704","ARPC5",109.470292191209,1.71748858225858,0.38446382704947,3.2843714465597e-07,2.35044856518168e-05
